Entry,Entry name,Status,Protein names,Cross-reference (DrugBank),Annotation
Q61140,BCAR1_MOUSE,reviewed,Breast cancer anti-estrogen resistance protein 1 (CRK-associated substrate) (p130cas),,5 out of 5
Q7TMS5,ABCG2_MOUSE,reviewed,Broad substrate specificity ATP-binding cassette transporter ABCG2 (EC 7.6.2.2) (ATP-binding cassette sub-family G member 2) (Breast cancer resistance protein 1 homolog) (Urate exporter) (CD antigen CD338),,5 out of 5
P56945,BCAR1_HUMAN,reviewed,Breast cancer anti-estrogen resistance protein 1 (CRK-associated substrate) (Cas scaffolding protein family member 1) (p130cas),,5 out of 5
P97929,BRCA2_MOUSE,reviewed,Breast cancer type 2 susceptibility protein homolog (Fanconi anemia group D1 protein homolog),,5 out of 5
Q8TD06,AGR3_HUMAN,reviewed,"Anterior gradient protein 3 (AG-3) (AG3) (hAG-3) (Anterior gradient 3 homolog) (Breast cancer membrane protein 11) (Protein disulfide isomerase family A, member 18)",,5 out of 5
Q9UNF1,MAGD2_HUMAN,reviewed,Melanoma-associated antigen D2 (11B6) (Breast cancer-associated gene 1 protein) (BCG-1) (Hepatocellular carcinoma-associated protein JCL-1) (MAGE-D2 antigen),,5 out of 5
O35923,BRCA2_RAT,reviewed,Breast cancer type 2 susceptibility protein homolog (Fanconi anemia group D1 protein homolog),,5 out of 5
Q5SZL2,CE85L_HUMAN,reviewed,Centrosomal protein of 85 kDa-like (Serologically defined breast cancer antigen NY-BR-15),,5 out of 5
Q14686,NCOA6_HUMAN,reviewed,"Nuclear receptor coactivator 6 (Activating signal cointegrator 2) (ASC-2) (Amplified in breast cancer protein 3) (Cancer-amplified transcriptional coactivator ASC-2) (Nuclear receptor coactivator RAP250) (NRC RAP250) (Nuclear receptor-activating protein, 250 kDa) (Peroxisome proliferator-activated receptor-interacting protein) (PPAR-interacting protein) (PRIP) (Thyroid hormone receptor-binding protein)",,5 out of 5
Q9NS87,KIF15_HUMAN,reviewed,Kinesin-like protein KIF15 (Kinesin-like protein 2) (hKLP2) (Kinesin-like protein 7) (Serologically defined breast cancer antigen NY-BR-62),,5 out of 5
Q96PN7,TREF1_HUMAN,reviewed,Transcriptional-regulating factor 1 (Breast cancer anti-estrogen resistance 2) (Transcriptional-regulating protein 132) (Zinc finger protein rapa) (Zinc finger transcription factor TReP-132),,5 out of 5
Q96JA3,PKHA8_HUMAN,reviewed,Pleckstrin homology domain-containing family A member 8 (PH domain-containing family A member 8) (Phosphatidylinositol-four-phosphate adapter protein 2) (FAPP-2) (Phosphoinositol 4-phosphate adapter protein 2) (hFAPP2) (Serologically defined breast cancer antigen NY-BR-86),,5 out of 5
Q5FBB7,SGO1_HUMAN,reviewed,Shugoshin 1 (Serologically defined breast cancer antigen NY-BR-85) (Shugoshin-like 1),,5 out of 5
Q9HCH5,SYTL2_HUMAN,reviewed,Synaptotagmin-like protein 2 (Breast cancer-associated antigen SGA-72M) (Exophilin-4),,5 out of 5
Q15008,PSMD6_HUMAN,reviewed,26S proteasome non-ATPase regulatory subunit 6 (26S proteasome regulatory subunit RPN7) (26S proteasome regulatory subunit S10) (Breast cancer-associated protein SGA-113M) (Phosphonoformate immuno-associated protein 4) (Proteasome regulatory particle subunit p44S10) (p42A),,5 out of 5
Q9BYZ6,RHBT2_HUMAN,reviewed,Rho-related BTB domain-containing protein 2 (Deleted in breast cancer 2 gene protein) (p83),,5 out of 5
A0A2D0QTR2,A0A2D0QTR2_ICTPU,unreviewed,breast cancer anti-estrogen resistance protein 1 isoform X1,,2 out of 5
A0A3Q2VSQ1,A0A3Q2VSQ1_HAPBU,unreviewed,Breast cancer metastasis-suppressor 1-like protein-A,,1 out of 5
W5UIY7,W5UIY7_ICTPU,unreviewed,Breast cancer anti-estrogen resistance protein 3,,1 out of 5
A0A672S7M6,A0A672S7M6_SINGR,unreviewed,Breast cancer anti-estrogen resistance protein 1-like,,1 out of 5
A0A672PJP7,A0A672PJP7_SINGR,unreviewed,Breast cancer anti-estrogen resistance protein 3-like,,1 out of 5
A0A7N8YB08,A0A7N8YB08_9TELE,unreviewed,Breast cancer anti-estrogen resistance protein 3-like,,1 out of 5
A0A7N8XKR0,A0A7N8XKR0_9TELE,unreviewed,Breast cancer anti-estrogen resistance protein 3-like,,1 out of 5
A0A3Q3LWN7,A0A3Q3LWN7_9TELE,unreviewed,Breast cancer anti-estrogen resistance protein 3-like,,1 out of 5
A0A2D0QU16,A0A2D0QU16_ICTPU,unreviewed,breast cancer anti-estrogen resistance protein 1 isoform X2,,2 out of 5
A0A6P8TXD0,A0A6P8TXD0_GYMAC,unreviewed,"synuclein, gamma b (Breast cancer-specific protein 1) isoform X1",,1 out of 5
A0A6P8RJY4,A0A6P8RJY4_GEOSA,unreviewed,breast cancer type 2 susceptibility protein isoform X2,,1 out of 5
A0A6P8V9I0,A0A6P8V9I0_GYMAC,unreviewed,breast cancer metastasis-suppressor 1-like protein-A,,1 out of 5
A0A6P8V3T9,A0A6P8V3T9_GYMAC,unreviewed,breast cancer metastasis-suppressor 1-like protein-A isoform X2,,1 out of 5
A0A2D0Q467,A0A2D0Q467_ICTPU,unreviewed,breast cancer anti-estrogen resistance protein 3-like isoform X3,,1 out of 5
A0A556V2V4,A0A556V2V4_BAGYA,unreviewed,Breast cancer anti-estrogen resistance protein 1,,1 out of 5
A0A7N8X9R6,A0A7N8X9R6_9TELE,unreviewed,Breast cancer anti-estrogen resistance protein 3-like,,1 out of 5
A0A672S6B6,A0A672S6B6_SINGR,unreviewed,Breast cancer anti-estrogen resistance protein 1-like,,1 out of 5
A0A672MDA4,A0A672MDA4_SINGR,unreviewed,Breast cancer anti-estrogen resistance protein 1-like,,1 out of 5
A0A7N8XBG9,A0A7N8XBG9_9TELE,unreviewed,Breast cancer anti-estrogen resistance protein 3-like,,1 out of 5
A0A3Q3S7G8,A0A3Q3S7G8_9TELE,unreviewed,Breast cancer anti-estrogen resistance protein 3-like,,1 out of 5
A0A3Q3MXB5,A0A3Q3MXB5_9TELE,unreviewed,Breast cancer anti-estrogen resistance protein 3-like,,1 out of 5
A0A672PW84,A0A672PW84_SINGR,unreviewed,Breast cancer anti-estrogen resistance protein 3-like,,1 out of 5
A0A672S6C0,A0A672S6C0_SINGR,unreviewed,Breast cancer anti-estrogen resistance protein 1-like,,1 out of 5
A0A556VAE8,A0A556VAE8_BAGYA,unreviewed,Breast cancer anti-estrogen resistance protein 3,,1 out of 5
A0A2D0QYJ4,A0A2D0QYJ4_ICTPU,unreviewed,breast cancer anti-estrogen resistance protein 3 isoform X2,,1 out of 5
A0A556TZ71,A0A556TZ71_BAGYA,unreviewed,Breast cancer metastasis-suppressor 1-like protein-A,,1 out of 5
A0A672PXU1,A0A672PXU1_SINGR,unreviewed,Breast cancer anti-estrogen resistance protein 3-like,,1 out of 5
A0A192A8I7,A0A192A8I7_9SAUR,unreviewed,Breast cancer 2 early onset (Fragment),,1 out of 5
A0A093Q363,A0A093Q363_PHACA,unreviewed,Breast cancer type 2 susceptibility protein (Fragment),,1 out of 5
A0A6P8R857,A0A6P8R857_GEOSA,unreviewed,breast cancer type 2 susceptibility protein isoform X6,,1 out of 5
A0A6P8R2Z2,A0A6P8R2Z2_GEOSA,unreviewed,breast cancer type 2 susceptibility protein isoform X5,,1 out of 5
A0A4Z2GF52,A0A4Z2GF52_9TELE,unreviewed,Breast cancer anti-estrogen resistance protein 3,,1 out of 5
A0A4Z2HQ43,A0A4Z2HQ43_9TELE,unreviewed,Breast cancer type 1 susceptibility,,1 out of 5
A0A3S6FJ78,A0A3S6FJ78_9SAUR,unreviewed,Breast cancer 1 early onset (Fragment),,1 out of 5
A0A6P8S055,A0A6P8S055_GEOSA,unreviewed,breast cancer metastasis-suppressor 1 isoform X2,,1 out of 5
A0A093THT8,A0A093THT8_PHACA,unreviewed,Breast cancer metastasis-suppressor 1-like (Fragment),,1 out of 5
A0A218UKZ2,A0A218UKZ2_9PASE,unreviewed,Breast cancer anti-estrogen resistance protein 1,,2 out of 5
A0A6P8TXB9,A0A6P8TXB9_GYMAC,unreviewed,"synuclein, gamma b (Breast cancer-specific protein 1) isoform X2",,1 out of 5
A0A6G0IV55,A0A6G0IV55_LARCR,unreviewed,Synaptotagmin-like protein 2 Breast cancer-associated antigen SGA-72M Exophilin-4,,1 out of 5
A0A6G0IBB8,A0A6G0IBB8_LARCR,unreviewed,Breast cancer membrane protein 101,,1 out of 5
A0A6G0J0G3,A0A6G0J0G3_LARCR,unreviewed,Protein GREB1 Gene regulated in breast cancer 1 protein,,1 out of 5
A0A218VEW8,A0A218VEW8_9PASE,unreviewed,Breast cancer anti-estrogen resistance protein 3,,1 out of 5
A0A6P8RT03,A0A6P8RT03_GEOSA,unreviewed,breast cancer metastasis-suppressor 1-like protein,,1 out of 5
A0A6P8X8G0,A0A6P8X8G0_GYMAC,unreviewed,breast cancer metastasis-suppressor 1 isoform X2,,1 out of 5
A0A6P8TGD7,A0A6P8TGD7_GYMAC,unreviewed,breast cancer type 2 susceptibility protein isoform X3,,1 out of 5
A0A093F175,A0A093F175_GAVST,unreviewed,Breast cancer type 2 susceptibility protein (Fragment),,1 out of 5
A0A673VXR1,A0A673VXR1_SALTR,unreviewed,Breast cancer anti-estrogen resistance protein 3-like,,1 out of 5
A0A3Q2YUI6,A0A3Q2YUI6_HIPCM,unreviewed,Breast cancer anti-estrogen resistance protein 3-like,,1 out of 5
A0A673ZM80,A0A673ZM80_SALTR,unreviewed,Breast cancer anti-estrogen resistance protein 3-like,,1 out of 5
A0A674B4D0,A0A674B4D0_SALTR,unreviewed,Breast cancer metastasis-suppressor 1 homolog,,1 out of 5
A0A673ZEW6,A0A673ZEW6_SALTR,unreviewed,Breast cancer anti-estrogen resistance protein 3-like,,1 out of 5
A0A151MFC5,A0A151MFC5_ALLMI,unreviewed,Breast cancer anti-estrogen resistance protein 3 isoform B,,1 out of 5
A0A6I9NA93,A0A6I9NA93_9TELE,unreviewed,breast cancer metastasis-suppressor 1-like protein-A,,1 out of 5
A0A091K9A7,A0A091K9A7_COLST,unreviewed,Breast cancer anti-estrogen resistance protein 3 (Fragment),,1 out of 5
A0A2I6QSI8,A0A2I6QSI8_9SAUR,unreviewed,Breast cancer 2 early onset (Fragment),,1 out of 5
A0A3B3XI10,A0A3B3XI10_9TELE,unreviewed,Breast cancer metastasis-suppressor 1 homolog,,1 out of 5
A0A099ZWS6,A0A099ZWS6_TINGU,unreviewed,Breast cancer type 2 susceptibility protein (Fragment),,1 out of 5
A0A3S6FJ60,A0A3S6FJ60_9SAUR,unreviewed,Breast cancer 1 early onset (Fragment),,1 out of 5
A0A3B3XWY6,A0A3B3XWY6_9TELE,unreviewed,Breast cancer metastasis-suppressor 1-like protein-A,,1 out of 5
A0A091HEW9,A0A091HEW9_BUCRH,unreviewed,Breast cancer anti-estrogen resistance protein 3 (Fragment),,1 out of 5
A0A2I0TSV5,A0A2I0TSV5_LIMLA,unreviewed,Breast cancer type 2 susceptibility protein,,1 out of 5
A0A6J1UGJ9,A0A6J1UGJ9_9SAUR,unreviewed,breast cancer anti-estrogen resistance protein 3 isoform X2,,1 out of 5
A0A3Q1G6S8,A0A3Q1G6S8_9TELE,unreviewed,Breast cancer anti-estrogen resistance protein 3-like,,1 out of 5
A0A7R5KIY0,A0A7R5KIY0_9PASS,unreviewed,breast cancer metastasis-suppressor 1-like protein,,1 out of 5
A0A3Q2E3R8,A0A3Q2E3R8_CYPVA,unreviewed,Breast cancer anti-estrogen resistance protein 3 homolog,,1 out of 5
A0A3S6FJ95,A0A3S6FJ95_9SAUR,unreviewed,Breast cancer 2 early onset (Fragment),,1 out of 5
A0A6J0HKE5,A0A6J0HKE5_9PASS,unreviewed,breast cancer type 2 susceptibility protein isoform X1,,1 out of 5
A0A3Q2GHZ1,A0A3Q2GHZ1_CYPVA,unreviewed,Breast cancer metastasis-suppressor 1-like protein-A,,1 out of 5
A0A6J1UY22,A0A6J1UY22_9SAUR,unreviewed,breast cancer anti-estrogen resistance protein 1,,1 out of 5
A0A6I9P771,A0A6I9P771_9TELE,unreviewed,breast cancer metastasis-suppressor 1-like protein isoform X2,,1 out of 5
A0A6I9NE79,A0A6I9NE79_9TELE,unreviewed,breast cancer metastasis-suppressor 1 isoform X2,,1 out of 5
A0A674F4H4,A0A674F4H4_SALTR,unreviewed,Breast cancer metastasis-suppressor 1-like protein-A,,1 out of 5
A0A673XCB2,A0A673XCB2_SALTR,unreviewed,Breast cancer anti-estrogen resistance protein 1-like,,1 out of 5
A0A674AVH2,A0A674AVH2_SALTR,unreviewed,Breast cancer anti-estrogen resistance protein 1-like,,1 out of 5
A0A673WS23,A0A673WS23_SALTR,unreviewed,Breast cancer metastasis-suppressor 1 homolog,,1 out of 5
A0A674BXZ6,A0A674BXZ6_SALTR,unreviewed,Breast cancer metastasis-suppressor 1-like protein-A,,1 out of 5
A0A673X1A6,A0A673X1A6_SALTR,unreviewed,Breast cancer anti-estrogen resistance protein 1-like,,1 out of 5
A0A673ZM12,A0A673ZM12_SALTR,unreviewed,Breast cancer anti-estrogen resistance protein 3-like,,1 out of 5
A0A673ZGG3,A0A673ZGG3_SALTR,unreviewed,Breast cancer anti-estrogen resistance protein 3-like,,1 out of 5
A0A674DB73,A0A674DB73_SALTR,unreviewed,Breast cancer anti-estrogen resistance protein 3-like,,1 out of 5
A0A673XA90,A0A673XA90_SALTR,unreviewed,Breast cancer anti-estrogen resistance protein 1-like,,1 out of 5
A0A6J1UQK0,A0A6J1UQK0_9SAUR,unreviewed,breast cancer type 2 susceptibility protein,,1 out of 5
A0A6J0I264,A0A6J0I264_9PASS,unreviewed,breast cancer anti-estrogen resistance protein 1 isoform X1,,2 out of 5
A0A6J0I069,A0A6J0I069_9PASS,unreviewed,breast cancer anti-estrogen resistance protein 1 isoform X2,,2 out of 5
A0A6I9N456,A0A6I9N456_9TELE,unreviewed,breast cancer metastasis-suppressor 1 isoform X1,,1 out of 5
A0A3B4FVW5,A0A3B4FVW5_9CICH,unreviewed,Breast cancer anti-estrogen resistance protein 3-like,,1 out of 5
A0A3Q1F8X5,A0A3Q1F8X5_9TELE,unreviewed,Breast cancer anti-estrogen resistance protein 3-like,,1 out of 5
A0A2I6QSJ4,A0A2I6QSJ4_9SAUR,unreviewed,Breast cancer 2 early onset (Fragment),,1 out of 5
A0A099YW40,A0A099YW40_TINGU,unreviewed,Breast cancer anti-estrogen resistance protein 1 (Fragment),,1 out of 5
A0A2I0UQ30,A0A2I0UQ30_LIMLA,unreviewed,Breast cancer anti-estrogen resistance protein 3 isoform x1,,1 out of 5
A0A6I9NES4,A0A6I9NES4_9TELE,unreviewed,breast cancer anti-estrogen resistance protein 3 homolog isoform X1,,1 out of 5
A0A3B4H775,A0A3B4H775_9CICH,unreviewed,Breast cancer metastasis-suppressor 1-like protein-A,,1 out of 5
A0A6I9P2X4,A0A6I9P2X4_9TELE,unreviewed,breast cancer metastasis-suppressor 1-like protein-A,,1 out of 5
A0A3Q1G1W1,A0A3Q1G1W1_9TELE,unreviewed,Breast cancer anti-estrogen resistance protein 3-like,,1 out of 5
A0A151MSQ6,A0A151MSQ6_ALLMI,unreviewed,Breast cancer anti-estrogen resistance protein 1,,1 out of 5
A0A3S6FJA6,A0A3S6FJA6_9SAUR,unreviewed,Breast cancer 2 early onset (Fragment),,1 out of 5
A0A3B4F8P0,A0A3B4F8P0_9CICH,unreviewed,"Synuclein, gamma b (breast cancer-specific protein 1)",,1 out of 5
A0A3S6FJ65,A0A3S6FJ65_NOTFR,unreviewed,Breast cancer 1 early onset (Fragment),,1 out of 5
A0A3S6FKG7,A0A3S6FKG7_9SAUR,unreviewed,Breast cancer 1 early onset (Fragment),,1 out of 5
A0A091HAY9,A0A091HAY9_BUCRH,unreviewed,Breast cancer metastasis-suppressor 1-like (Fragment),,1 out of 5
A0A6I9Q0Q7,A0A6I9Q0Q7_9TELE,unreviewed,breast cancer anti-estrogen resistance protein 3-like isoform X3,,1 out of 5
A0A151MPT0,A0A151MPT0_ALLMI,unreviewed,Breast cancer type 2 susceptibility protein isoform C,,1 out of 5
A0A6J0IGB3,A0A6J0IGB3_9PASS,unreviewed,breast cancer metastasis-suppressor 1-like protein,,1 out of 5
A0A6I9Q1L6,A0A6I9Q1L6_9TELE,unreviewed,breast cancer anti-estrogen resistance protein 3-like isoform X2,,1 out of 5
A0A151MFB7,A0A151MFB7_ALLMI,unreviewed,Breast cancer anti-estrogen resistance protein 3 isoform A,,1 out of 5
A0A151MPQ2,A0A151MPQ2_ALLMI,unreviewed,Breast cancer type 2 susceptibility protein isoform B,,1 out of 5
A0A6I9NEL3,A0A6I9NEL3_9TELE,unreviewed,breast cancer anti-estrogen resistance protein 3 homolog isoform X2,,1 out of 5
A0A6J0IUY9,A0A6J0IUY9_9PASS,unreviewed,breast cancer anti-estrogen resistance protein 3 isoform X1,,1 out of 5
A0A6I9Q0P2,A0A6I9Q0P2_9TELE,unreviewed,breast cancer anti-estrogen resistance protein 3-like isoform X1,,1 out of 5
A0A3G1TZ20,A0A3G1TZ20_9SAUR,unreviewed,Breast cancer 2 (Fragment),,1 out of 5
A0A3Q0GDL3,A0A3Q0GDL3_ALLSI,unreviewed,breast cancer anti-estrogen resistance protein 3 isoform X4,,1 out of 5
A0A1A8S7M9,A0A1A8S7M9_9TELE,unreviewed,"Breast cancer 2, early onset (Fragment)",,1 out of 5
A0A3Q0G7X5,A0A3Q0G7X5_ALLSI,unreviewed,breast cancer anti-estrogen resistance protein 1 isoform X1,,1 out of 5
A0A3Q0GBJ8,A0A3Q0GBJ8_ALLSI,unreviewed,breast cancer anti-estrogen resistance protein 1 isoform X2,,1 out of 5
A0A1A8ULX3,A0A1A8ULX3_NOTFU,unreviewed,"Breast cancer 2, early onset (Fragment)",,1 out of 5
A0A1A8PZU0,A0A1A8PZU0_9TELE,unreviewed,Breast cancer anti-estrogen resistance 1 (Fragment),,1 out of 5
A0A1A8UMJ1,A0A1A8UMJ1_NOTFU,unreviewed,"Breast cancer 2, early onset (Fragment)",,1 out of 5
A0A2I6QSG2,A0A2I6QSG2_9SAUR,unreviewed,Breast cancer 2 early onset (Fragment),,1 out of 5
A0A2I6QSI0,A0A2I6QSI0_9SAUR,unreviewed,Breast cancer 2 early onset (Fragment),,1 out of 5
A0A2I6QSG5,A0A2I6QSG5_9SAUR,unreviewed,Breast cancer 2 early onset (Fragment),,1 out of 5
A0A094LG47,A0A094LG47_PODCR,unreviewed,Breast cancer anti-estrogen resistance protein 3 (Fragment),,1 out of 5
A0A1U7RKW2,A0A1U7RKW2_ALLSI,unreviewed,breast cancer anti-estrogen resistance protein 3 isoform X3,,1 out of 5
A0A2I6QSH6,A0A2I6QSH6_9SAUR,unreviewed,Breast cancer 2 early onset (Fragment),,1 out of 5
A0A1A8UFA5,A0A1A8UFA5_NOTFU,unreviewed,Breast cancer anti-estrogen resistance 3 (Fragment),,1 out of 5
A0A1A8RVM5,A0A1A8RVM5_9TELE,unreviewed,Breast cancer metastasis-suppressor 1-like b (Fragment),,1 out of 5
A0A3G1TZ00,A0A3G1TZ00_9SAUR,unreviewed,Breast cancer 2 (Fragment),,1 out of 5
A0A3G1TYW9,A0A3G1TYW9_9SAUR,unreviewed,Breast cancer 2 (Fragment),,1 out of 5
A0A1A7ZRA9,A0A1A7ZRA9_NOTFU,unreviewed,Breast cancer metastasis-suppressor 1 (Fragment),,1 out of 5
A0A3G1TYV6,A0A3G1TYV6_9SAUR,unreviewed,Breast cancer 2 (Fragment),,1 out of 5
A0A3G1TYU8,A0A3G1TYU8_9SAUR,unreviewed,Breast cancer 2 (Fragment),,1 out of 5
A0A2I6QSG3,A0A2I6QSG3_9SAUR,unreviewed,Breast cancer 2 early onset (Fragment),,1 out of 5
A0A087QMM9,A0A087QMM9_APTFO,unreviewed,Breast cancer anti-estrogen resistance protein 3 (Fragment),,1 out of 5
A0A094NIH5,A0A094NIH5_PODCR,unreviewed,Breast cancer type 2 susceptibility protein (Fragment),,1 out of 5
A0A3G1TYX9,A0A3G1TYX9_9SAUR,unreviewed,Breast cancer 2 (Fragment),,1 out of 5
A0A1A8ADN8,A0A1A8ADN8_NOTFU,unreviewed,"Breast cancer 2, early onset",,1 out of 5
A0A3G1TYY3,A0A3G1TYY3_9SAUR,unreviewed,Breast cancer 2 (Fragment),,1 out of 5
A0A087QM77,A0A087QM77_APTFO,unreviewed,Breast cancer type 2 susceptibility protein (Fragment),,1 out of 5
A0A1A8R628,A0A1A8R628_9TELE,unreviewed,Breast cancer metastasis-suppressor 1,,1 out of 5
A0A1A7ZIA8,A0A1A7ZIA8_NOTFU,unreviewed,"Breast cancer 2, early onset (Fragment)",,1 out of 5
A0A3G1TYX5,A0A3G1TYX5_9SAUR,unreviewed,Breast cancer 2 (Fragment),,1 out of 5
A0A2I6QSH0,A0A2I6QSH0_9SAUR,unreviewed,Breast cancer 2 early onset (Fragment),,1 out of 5
A0A2I6QSG7,A0A2I6QSG7_9SAUR,unreviewed,Breast cancer 2 early onset (Fragment),,1 out of 5
A0A093CHY4,A0A093CHY4_TAUER,unreviewed,Breast cancer metastasis-suppressor 1-like (Fragment),,1 out of 5
A0A1A7X487,A0A1A7X487_9TELE,unreviewed,Breast cancer anti-estrogen resistance 1 (Fragment),,1 out of 5
A0A1A7YBE0,A0A1A7YBE0_9TELE,unreviewed,Breast cancer anti-estrogen resistance 1 (Fragment),,1 out of 5
A0A1A7WDU7,A0A1A7WDU7_9TELE,unreviewed,"Breast cancer 2, early onset (Fragment)",,1 out of 5
A0A4U5UJZ5,A0A4U5UJZ5_COLLU,unreviewed,Breast cancer anti-estrogen resistance protein 3-like protein,,1 out of 5
A0A4U5UM85,A0A4U5UM85_COLLU,unreviewed,Breast cancer metastasis-suppressor 1-like protein-A,,1 out of 5
A0A3G1TYU6,A0A3G1TYU6_9SAUR,unreviewed,Breast cancer 2 (Fragment),,1 out of 5
A0A6J2PM64,A0A6J2PM64_COTGO,unreviewed,breast cancer anti-estrogen resistance protein 3 isoform X1,,1 out of 5
A0A3S6FJ71,A0A3S6FJ71_9SAUR,unreviewed,Breast cancer 1 early onset (Fragment),,1 out of 5
A0A091SWL2,A0A091SWL2_PELCR,unreviewed,Breast cancer type 2 susceptibility protein (Fragment),,1 out of 5
A0A3P8R1F0,A0A3P8R1F0_ASTCA,unreviewed,Breast cancer metastasis-suppressor 1-like protein-A,,1 out of 5
A0A6J2PUW0,A0A6J2PUW0_COTGO,unreviewed,breast cancer anti-estrogen resistance protein 3-like isoform X1,,1 out of 5
A0A3P8R8U8,A0A3P8R8U8_ASTCA,unreviewed,Breast cancer anti-estrogen resistance protein 3-like,,1 out of 5
A0A1A8AKA0,A0A1A8AKA0_NOTFU,unreviewed,Breast cancer anti-estrogen resistance 3,,1 out of 5
A0A3Q0GHQ2,A0A3Q0GHQ2_ALLSI,unreviewed,breast cancer anti-estrogen resistance protein 3 isoform X2,,1 out of 5
A0A3P8QRP6,A0A3P8QRP6_ASTCA,unreviewed,Breast cancer metastasis-suppressor 1 homolog,,1 out of 5
A0A6P7K8K2,A0A6P7K8K2_9TELE,unreviewed,breast cancer anti-estrogen resistance protein 1 isoform X2,,2 out of 5
A0A3P9BDT4,A0A3P9BDT4_9CICH,unreviewed,Breast cancer metastasis-suppressor 1-like protein-A,,1 out of 5
A0A1A8S5L8,A0A1A8S5L8_9TELE,unreviewed,"Breast cancer 2, early onset (Fragment)",,1 out of 5
A0A1A7ZT51,A0A1A7ZT51_NOTFU,unreviewed,Breast cancer metastasis-suppressor 1 (Fragment),,1 out of 5
A0A2I6QSD3,A0A2I6QSD3_9SAUR,unreviewed,Breast cancer 2 early onset (Fragment),,1 out of 5
